测试,#genre#
1,http://v6.hbpoon.top/gz200131.mp4
mp3,http://v6.hbpoon.top/%E8%AE%B8%E9%9D%96%E9%9F%B5%20-%20%E6%A2%A6%E4%BC%B4(Live).mp3
我的100分男友,https://video.sigujx.com/m3u8/Ha246420d1576483ba26a43332177a936l.m3u8
霍哥廚房35,http://v6.hbpoon.top/%E9%9C%8D%E5%93%A5%E5%BB%9A%E6%88%BF35.mkv
港台,#genre#
无线新闻台,P2p://sdgdklwos.finetv.tv:9906/5a562bec0007bfd761a2998e00b83dd5
无线新闻台,P2p://sdgdklwos.finetv.tv:9906/5ad32bdc000b780449ee52022e841cf7
无线新闻台,p8p://0198.02686.cc:16871/5d1a69dc000d64b611be7bef5757286e.ts
翡翠台,P2p://sdgdklwos.finetv.tv:9906/5ad32c0d0000bbd049ef0eab717740e2
翡翠台,P2p://sdgdklwos.finetv.tv:9906/5a562a0b000d7041619b441d562d5ee8
翡翠台,p8p://0198.02686.cc:16871/5d1a69fb000eb19011bef55c89140144.ts
翡翠台,http://116.199.5.51:8114/00000000/hls/index.m3u8?Fsv_chan_hls_se_idx=188&FvSeid=1&Fsv_ctype=LIVES&Fsv_otype=1&Provider_id=&Pcontent_id=.m3u8
VIU TV,P2p://sdgdklwos.finetv.tv:9906/59fd171800092000026eb35003107eef
VIU TV6,P2p://sdgdklwos.finetv.tv:9906/5ad32bae0001dd1049ed9be114c818f0
J2,P2p://sdgdklwos.finetv.tv:9906/59fd25e80008aaec02a88fc1476f2edf
J2,P2p://sdgdklwos.finetv.tv:9906/5ad32b7d000cca4049ecdf4812f47470
J2,vjms://121.14.222.75:8500:3502/live/cid=368
明珠台,P2p://sdgdklwos.finetv.tv:9906/59fd0d0a0009323a02476cb020fe16f9
明珠台,P2p://sdgdklwos.finetv.tv:9906/5ad32b590006aefa49ec511272c5262e
廣東IPTV,#genre#
移動頻道,rtsp://183.59.156.50/PLTV/88888905/224/3221227209/10000100000000060000000000987164_0.smil?accountinfo=DXi1uRtg+k7Xqypt+osZivaY/hXTjnQkUKGpqErK87albpOHLKfP59Ezam8BZLu2cNjCRpvfJcBFt0ghq8yUdtmKRoKA+HK4hKzX8JmEjYO4SoSNp+rVFn5ReLWtDyVl2tzWtqxmQc+mjpQq4RH6qg==:20200101000000,
英語輔導,rtsp://183.59.156.50/PLTV/88888905/224/3221227236/10000100000000060000000000990116_0.smil?accountinfo=DXi1uRtg+k7Xqypt+osZivaY/hXTjnQkUKGpqErK87albpOHLKfP59Ezam8BZLu2cNjCRpvfJcBFt0ghq8yUdtmKRoKA+HK4hKzX8JmEjYO4SoSNp+rVFn5ReLWtDyVl++8+DEaNW0qO1rBppty3pQ==:20200101000000,
CCTV-1綜合,rtsp://183.59.156.50/PLTV/88888905/224/3221227270/10000100000000060000000001141346_0.smil?accountinfo=mdpUNBYyR1k+F66YXa/TzDndXImd5poJusbSk8R2QOouspPltIcW0UlR7lEywJNRmDHSsDZRkf1zxtkTsUB7fxNldM0shJ9v2LeMWRVrk+PrwQ65IOVpL8DXXSenp3j9fWMFLaI1yZMhg2OEYVWsfQ==:20200101000000,
CCTV-2財經,rtsp://183.59.156.50/PLTV/88888905/224/3221227634/10000100000000060000000004662503_0.smil?accountinfo=DXi1uRtg+k7Xqypt+osZivaY/hXTjnQkUKGpqErK87albpOHLKfP59Ezam8BZLu2cNjCRpvfJcBFt0ghq8yUdtmKRoKA+HK4hKzX8JmEjYO4SoSNp+rVFn5ReLWtDyVlD57+r/Qs7y1dA0PoLSNyOA==:20200101000000,
CCTV-3綜藝,rtsp://183.59.156.50/PLTV/88888905/224/3221229848/10000100000000060000000009924446_0.smil?accountinfo=DXi1uRtg+k7Xqypt+osZivaY/hXTjnQkUKGpqErK87albpOHLKfP59Ezam8BZLu2cNjCRpvfJcBFt0ghq8yUdtmKRoKA+HK4hKzX8JmEjYO4SoSNp+rVFn5ReLWtDyVlY7HCQB9Bsj0ljQaVstiHug==:20200101000000,
CCTV-4中文國際,rtsp://183.59.156.50/PLTV/88888905/224/3221229981/10000100000000060000000010232874_0.smil?accountinfo=DXi1uRtg+k7Xqypt+osZivaY/hXTjnQkUKGpqErK87albpOHLKfP59Ezam8BZLu2cNjCRpvfJcBFt0ghq8yUdtmKRoKA+HK4hKzX8JmEjYO4SoSNp+rVFn5ReLWtDyVlyGPseADNHSOXKPQEbPVB0w==:20200101000000,
CCTV-5體育,rtsp://183.59.156.50/PLTV/88888888/224/3221228112/10000100000000060000000007191279_0.smil#rtsp://183.59.156.50/PLTV/88888905/224/3221229805/10000100000000060000000009924448_0.smil?accountinfo=DXi1uRtg+k7Xqypt+osZivaY/hXTjnQkUKGpqErK87albpOHLKfP59Ezam8BZLu2cNjCRpvfJcBFt0ghq8yUdtmKRoKA+HK4hKzX8JmEjYO4SoSNp+rVFn5ReLWtDyVlHRlC7ogciiZ7zQrei4+low==:20200101000000,
CCTV5＋賽事,rtsp://183.59.156.50/PLTV/88888905/224/3221227192/10000100000000060000000000987131_0.smil?accountinfo=DXi1uRtg+k7Xqypt+osZivaY/hXTjnQkUKGpqErK87albpOHLKfP59Ezam8BZLu2cNjCRpvfJcBFt0ghq8yUdtmKRoKA+HK4hKzX8JmEjYO4SoSNp+rVFn5ReLWtDyVlBNaW/yvNd3fA2IZC6/PWcg==:20200101000000,
CCTV-6電影,rtsp://183.59.156.50/PLTV/88888905/224/3221229816/10000100000000060000000009924383_0.smil?accountinfo=DXi1uRtg+k7Xqypt+osZivaY/hXTjnQkUKGpqErK87albpOHLKfP59Ezam8BZLu2cNjCRpvfJcBFt0ghq8yUdtmKRoKA+HK4hKzX8JmEjYO4SoSNp+rVFn5ReLWtDyVltxmt1VhlTD0/L9Iywvz4nQ==:20200101000000,
CCTV-7國防軍事,rtsp://183.59.156.50/PLTV/88888905/224/3221227620/10000100000000060000000004662504_0.smil?accountinfo=DXi1uRtg+k7Xqypt+osZivaY/hXTjnQkUKGpqErK87albpOHLKfP59Ezam8BZLu2cNjCRpvfJcBFt0ghq8yUdtmKRoKA+HK4hKzX8JmEjYO4SoSNp+rVFn5ReLWtDyVlrqU9JiVl0/3YMKMP/poLww==:20200101000000,
